AU, blendshape, value
6,Mouth_Smile_Right,1.401298E-45 
6,Mouth_Smile_Left,0.1281658 
6,Mouth_Sad_Right,0.6580845 
6,Mouth_Sad_Left,0.7395581 
6,Cheek_Puff_Right,4.624285E-44 
6,Cheek_Puff_Left,1.401298E-45 
6,Cheek_Suck,0 
6,Mouth_Upper_UpRight,1.401298E-45 
6,Mouth_Upper_UpLeft,1.401298E-45 
6,Mouth_Lower_DownRight,1.401298E-45 
6,Mouth_Lower_DownLeft,1.401298E-45 
6,Mouth_Upper_Inside,0 
6,Mouth_Lower_Inside,0 
6,Mouth_Lower_Overlay,1.401298E-45 
6,Tongue_LongStep1,1.401298E-45 
6,Tongue_Left,1.401298E-45 
6,Tongue_Right,0 
6,Tongue_Up,0 
6,Tongue_Down,0 
6,Tongue_Roll,1.401298E-45 
6,Tongue_LongStep2,1.401298E-45 
6,Tongue_UpRight_Morph,0 
6,Tongue_UpLeft_Morph,0 
6,Tongue_DownRight_Morph,0 
6,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
7,Jaw_Right,7.909411E-07 
7,Jaw_Left,0.01147464 
7,Jaw_Forward,0 
7,Jaw_Open,1.401298E-45 
7,Mouth_Ape_Shape,0 
7,Mouth_Upper_Right,1.401298E-45 
7,Mouth_Upper_Left,0.02086126 
7,Mouth_Lower_Right,1.401298E-45 
7,Mouth_Lower_Left,0.04209123 
7,Mouth_Upper_Overturn,1.401298E-45 
7,Mouth_Lower_Overturn,1.401298E-45 
7,Mouth_Pout,0.2134038 
7,Mouth_Smile_Right,1.401298E-45 
7,Mouth_Smile_Left,1.401298E-45 
7,Mouth_Sad_Right,0.6232386 
7,Mouth_Sad_Left,0.6697445 
7,Cheek_Puff_Right,0.3248548 
7,Cheek_Puff_Left,0.4843452 
7,Cheek_Suck,0 
7,Mouth_Upper_UpRight,1.401298E-45 
7,Mouth_Upper_UpLeft,1.401298E-45 
7,Mouth_Lower_DownRight,1.401298E-45 
7,Mouth_Lower_DownLeft,1.401298E-45 
7,Mouth_Upper_Inside,0 
7,Mouth_Lower_Inside,1.401298E-45 
7,Mouth_Lower_Overlay,0 
7,Tongue_LongStep1,1.401298E-45 
7,Tongue_Left,0 
7,Tongue_Right,0 
7,Tongue_Up,0 
7,Tongue_Down,1.401298E-45 
7,Tongue_Roll,1.401298E-45 
7,Tongue_LongStep2,0 
7,Tongue_UpRight_Morph,0 
7,Tongue_UpLeft_Morph,0 
7,Tongue_DownRight_Morph,0 
7,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
9,Jaw_Right,1.401298E-45 
9,Jaw_Left,0.06649197 
9,Jaw_Forward,0 
9,Jaw_Open,6.486205E-24 
9,Mouth_Ape_Shape,0 
9,Mouth_Upper_Right,0.0001394721 
9,Mouth_Upper_Left,0.00602429 
9,Mouth_Lower_Right,1.776093E-32 
9,Mouth_Lower_Left,0.04662687 
9,Mouth_Upper_Overturn,0 
9,Mouth_Lower_Overturn,0 
9,Mouth_Pout,0.003166824 
9,Mouth_Smile_Right,0 
9,Mouth_Smile_Left,0 
9,Mouth_Sad_Right,0.4166957 
9,Mouth_Sad_Left,0.4951224 
9,Cheek_Puff_Right,0.4501655 
9,Cheek_Puff_Left,0.7063491 
9,Cheek_Suck,0 
9,Mouth_Upper_UpRight,0 
9,Mouth_Upper_UpLeft,0 
9,Mouth_Lower_DownRight,0 
9,Mouth_Lower_DownLeft,0 
9,Mouth_Upper_Inside,0 
9,Mouth_Lower_Inside,0 
9,Mouth_Lower_Overlay,0.005058123 
9,Tongue_LongStep1,0 
9,Tongue_Left,0 
9,Tongue_Right,0 
9,Tongue_Up,0 
9,Tongue_Down,0 
9,Tongue_Roll,0 
9,Tongue_LongStep2,0 
9,Tongue_UpRight_Morph,0 
9,Tongue_UpLeft_Morph,0 
9,Tongue_DownRight_Morph,0 
9,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
10,Jaw_Right,1.401298E-45 
10,Jaw_Left,0.1000849 
10,Jaw_Forward,0 
10,Jaw_Open,0.4247642 
10,Mouth_Ape_Shape,0 
10,Mouth_Upper_Right,1.401298E-45 
10,Mouth_Upper_Left,0.1484916 
10,Mouth_Lower_Right,1.401298E-45 
10,Mouth_Lower_Left,0.1966026 
10,Mouth_Upper_Overturn,0 
10,Mouth_Lower_Overturn,0 
10,Mouth_Pout,0.0255613 
10,Mouth_Smile_Right,1.401298E-45 
10,Mouth_Smile_Left,4.83448E-43 
10,Mouth_Sad_Right,0.2374219 
10,Mouth_Sad_Left,0.4414976 
10,Cheek_Puff_Right,1.401298E-45 
10,Cheek_Puff_Left,1.401298E-45 
10,Cheek_Suck,0 
10,Mouth_Upper_UpRight,0.4806818 
10,Mouth_Upper_UpLeft,0.4981053 
10,Mouth_Lower_DownRight,7.497647E-41 
10,Mouth_Lower_DownLeft,0.01010272 
10,Mouth_Upper_Inside,1.401298E-45 
10,Mouth_Lower_Inside,2.379883E-17 
10,Mouth_Lower_Overlay,1.401298E-45 
10,Tongue_LongStep1,0.07518241 
10,Tongue_Left,0 
10,Tongue_Right,0 
10,Tongue_Up,0 
10,Tongue_Down,0 
10,Tongue_Roll,7.468921E-43 
10,Tongue_LongStep2,1.401298E-45 
10,Tongue_UpRight_Morph,0 
10,Tongue_UpLeft_Morph,0 
10,Tongue_DownRight_Morph,0 
10,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
12,Jaw_Right,2.599053E-20 
12,Jaw_Left,0.03066087 
12,Jaw_Forward,0 
12,Jaw_Open,0.1033649 
12,Mouth_Ape_Shape,1.401298E-45 
12,Mouth_Upper_Right,1.10805E-22 
12,Mouth_Upper_Left,0.02557453 
12,Mouth_Lower_Right,1.401298E-45 
12,Mouth_Lower_Left,0.0463409 
12,Mouth_Upper_Overturn,1.401298E-45 
12,Mouth_Lower_Overturn,1.401298E-45 
12,Mouth_Pout,1.401298E-45 
12,Mouth_Smile_Right,0.7810211 
12,Mouth_Smile_Left,0.8549544 
12,Mouth_Sad_Right,0.2130254 
12,Mouth_Sad_Left,0.2487022 
12,Cheek_Puff_Right,1.401298E-45 
12,Cheek_Puff_Left,9.289208E-42 
12,Cheek_Suck,0 
12,Mouth_Upper_UpRight,1.401298E-45 
12,Mouth_Upper_UpLeft,1.401298E-45 
12,Mouth_Lower_DownRight,1.401298E-45 
12,Mouth_Lower_DownLeft,1.401298E-45 
12,Mouth_Upper_Inside,0 
12,Mouth_Lower_Inside,0 
12,Mouth_Lower_Overlay,1.401298E-45 
12,Tongue_LongStep1,0.186329 
12,Tongue_Left,0 
12,Tongue_Right,0 
12,Tongue_Up,1.401298E-45 
12,Tongue_Down,1.401298E-45 
12,Tongue_Roll,1.401298E-45 
12,Tongue_LongStep2,1.401298E-45 
12,Tongue_UpRight_Morph,0 
12,Tongue_UpLeft_Morph,0 
12,Tongue_DownRight_Morph,0 
12,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
14,Jaw_Right,0.1047295 
14,Jaw_Left,1.401298E-45 
14,Jaw_Forward,0 
14,Jaw_Open,0.08429804 
14,Mouth_Ape_Shape,0 
14,Mouth_Upper_Right,0.06140965 
14,Mouth_Upper_Left,1.401298E-45 
14,Mouth_Lower_Right,0.08070891 
14,Mouth_Lower_Left,1.401298E-45 
14,Mouth_Upper_Overturn,1.401298E-45 
14,Mouth_Lower_Overturn,1.401298E-45 
14,Mouth_Pout,1.401298E-45 
14,Mouth_Smile_Right,0.0356589 
14,Mouth_Smile_Left,0.07030825 
14,Mouth_Sad_Right,0.2999096 
14,Mouth_Sad_Left,0.3172548 
14,Cheek_Puff_Right,1.401298E-45 
14,Cheek_Puff_Left,1.401298E-45 
14,Cheek_Suck,0 
14,Mouth_Upper_UpRight,1.401298E-45 
14,Mouth_Upper_UpLeft,1.401298E-45 
14,Mouth_Lower_DownRight,0 
14,Mouth_Lower_DownLeft,0 
14,Mouth_Upper_Inside,0 
14,Mouth_Lower_Inside,0 
14,Mouth_Lower_Overlay,0 
14,Tongue_LongStep1,2.800006E-14 
14,Tongue_Left,0 
14,Tongue_Right,0 
14,Tongue_Up,0 
14,Tongue_Down,0 
14,Tongue_Roll,1.401298E-45 
14,Tongue_LongStep2,1.401298E-45 
14,Tongue_UpRight_Morph,0 
14,Tongue_UpLeft_Morph,0 
14,Tongue_DownRight_Morph,0 
14,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
15,Jaw_Right,7.725993E-14 
15,Jaw_Left,0.03802568 
15,Jaw_Forward,0 
15,Jaw_Open,0.03849529 
15,Mouth_Ape_Shape,0 
15,Mouth_Upper_Right,3.35443E-06 
15,Mouth_Upper_Left,0.01278106 
15,Mouth_Lower_Right,4.324395E-13 
15,Mouth_Lower_Left,0.04269418 
15,Mouth_Upper_Overturn,0 
15,Mouth_Lower_Overturn,0 
15,Mouth_Pout,1.401298E-45 
15,Mouth_Smile_Right,0 
15,Mouth_Smile_Left,0 
15,Mouth_Sad_Right,0.6268594 
15,Mouth_Sad_Left,0.6584173 
15,Cheek_Puff_Right,2.603225E-30 
15,Cheek_Puff_Left,0.1082787 
15,Cheek_Suck,0 
15,Mouth_Upper_UpRight,1.401298E-45 
15,Mouth_Upper_UpLeft,1.401298E-45 
15,Mouth_Lower_DownRight,1.401298E-45 
15,Mouth_Lower_DownLeft,1.401298E-45 
15,Mouth_Upper_Inside,0 
15,Mouth_Lower_Inside,0 
15,Mouth_Lower_Overlay,1.401298E-45 
15,Tongue_LongStep1,1.401298E-45 
15,Tongue_Left,0 
15,Tongue_Right,0 
15,Tongue_Up,0 
15,Tongue_Down,0 
15,Tongue_Roll,3.218586E-31 
15,Tongue_LongStep2,1.401298E-45 
15,Tongue_UpRight_Morph,0 
15,Tongue_UpLeft_Morph,0 
15,Tongue_DownRight_Morph,0 
15,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
16,Jaw_Right,4.203703E-37 
16,Jaw_Left,0.0722634 
16,Jaw_Forward,0 
16,Jaw_Open,0.1891546 
16,Mouth_Ape_Shape,0 
16,Mouth_Upper_Right,1.401298E-45 
16,Mouth_Upper_Left,0.1281859 
16,Mouth_Lower_Right,3.296214E-39 
16,Mouth_Lower_Left,0.219497 
16,Mouth_Upper_Overturn,0 
16,Mouth_Lower_Overturn,0 
16,Mouth_Pout,0.1775797 
16,Mouth_Smile_Right,0 
16,Mouth_Smile_Left,0 
16,Mouth_Sad_Right,0.3283452 
16,Mouth_Sad_Left,0.5141581 
16,Cheek_Puff_Right,0.2222576 
16,Cheek_Puff_Left,0.1796438 
16,Cheek_Suck,0 
16,Mouth_Upper_UpRight,0.6877733 
16,Mouth_Upper_UpLeft,0.6926744 
16,Mouth_Lower_DownRight,0.8899401 
16,Mouth_Lower_DownLeft,0.9505628 
16,Mouth_Upper_Inside,0 
16,Mouth_Lower_Inside,0 
16,Mouth_Lower_Overlay,1.401298E-45 
16,Tongue_LongStep1,2.084074E-37 
16,Tongue_Left,0 
16,Tongue_Right,0 
16,Tongue_Up,0 
16,Tongue_Down,0 
16,Tongue_Roll,0.05752093 
16,Tongue_LongStep2,0 
16,Tongue_UpRight_Morph,0 
16,Tongue_UpLeft_Morph,0 
16,Tongue_DownRight_Morph,0 
16,Tongue_DownLeft_Morph,0 
,,
AU, blendshape, value
17,Jaw_Right,5.35267E-24 
17,Jaw_Left,0.02002215 
17,Jaw_Forward,1.401298E-45 
17,Jaw_Open,0.1084356 
17,Mouth_Ape_Shape,1.401298E-45 
17,Mouth_Upper_Right,0.0007778222 
17,Mouth_Upper_Left,0.003416284 
17,Mouth_Lower_Right,0.0003234158 
17,Mouth_Lower_Left,0.01205973 
17,Mouth_Upper_Overturn,0 
17,Mouth_Lower_Overturn,0 
17,Mouth_Pout,0.0128356 
17,Mouth_Smile_Right,1.401298E-45 
17,Mouth_Smile_Left,1.401298E-45 
17,Mouth_Sad_Right,0.7691305 
17,Mouth_Sad_Left,0.7684332 
17,Cheek_Puff_Right,4.262644E-25 
17,Cheek_Puff_Left,4.11827E-23 
17,Cheek_Suck,0 
17,Mouth_Upper_UpRight,1.401298E-45 
17,Mouth_Upper_UpLeft,1.401298E-45 
17,Mouth_Lower_DownRight,1.401298E-45 
17,Mouth_Lower_DownLeft,1.401298E-45 
17,Mouth_Upper_Inside,1.401298E-45 
17,Mouth_Lower_Inside,0.4124726 
17,Mouth_Lower_Overlay,0.3986102 
17,Tongue_LongStep1,1.401298E-45 
17,Tongue_Left,1.401298E-45 
17,Tongue_Right,1.401298E-45 
17,Tongue_Up,1.401298E-45 
17,Tongue_Down,1.401298E-45 
17,Tongue_Roll,0.07126205 
17,Tongue_LongStep2,1.401298E-45 
17,Tongue_UpRight_Morph,0 
17,Tongue_UpLeft_Morph,0 
17,Tongue_DownRight_Morph,0 
17,Tongue_DownLeft_Morph,0 
