,Subject number,Expression,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
0,0,Neutral,0.005194247,0.01135421,0.0,0.1207895,0.01135421,0.1363794,0.01951975,0.01135421,0.0,0.1207895,0.01135421,0.1363794,0,0.0,0.0,2.667781e-11,0.02846269,0.09331152,1.401298e-45,1.401298e-45,0.3240816,1.401298e-45,0.3134479,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1110746,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0395636,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
1,0,Neutral,0.005947769,0.0,0.0,0.1211569,0.0,0.1348785,0.02583492,0.0,0.0,0.1211569,0.0,0.1348785,0,0.0,0.0,6.669453e-12,0.03443127,0.09556235,1.401298e-45,1.401298e-45,0.3199677,1.401298e-45,0.3074576,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1031134,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05013505,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
2,0,Neutral,0.005906582,0.0,0.0,0.1211569,0.0,0.1349844,0.0256598,0.0,0.0,0.1211569,0.0,0.1349844,0,0.0,0.0,6.669453e-12,0.03443127,0.09556235,1.401298e-45,1.401298e-45,0.3199677,1.401298e-45,0.3074576,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1031134,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05013505,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
3,0,Neutral,0.005152762,0.0,0.0,0.1210853,0.0,0.1372474,0.009839475,0.0,0.0,0.1210853,0.0,0.1372474,0,0.0,0.0,1.667363e-12,0.03299633,0.08842068,1.401298e-45,1.401298e-45,0.3171658,1.401298e-45,0.3055918,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.09725603,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.04415953,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
4,0,Neutral,0.005152762,0.0,0.0,0.1210853,0.0,0.1371219,0.009839475,0.0,0.0,0.1210853,0.0,0.1371219,0,0.0,0.0,1.667363e-12,0.03299633,0.08842068,1.401298e-45,1.401298e-45,0.3171658,1.401298e-45,0.3055918,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.09725603,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.04415953,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
5,0,Neutral,0.1011179,0.0,0.0,0.1369618,0.0,0.1510323,0.09575152,0.0,0.0,0.1369618,0.0,0.1510323,0,0.0,0.0,1.401298e-45,0.05786322,0.1091522,1.401298e-45,1.401298e-45,0.2206244,1.401298e-45,0.2160994,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.149206,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.225336,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
6,0,Neutral,0.08692938,0.0,0.0,0.1369618,0.0,0.1513208,0.139003,0.0,0.0,0.1369618,0.0,0.1513208,0,0.0,0.0,1.401298e-45,0.05786322,0.1091522,1.401298e-45,1.401298e-45,0.2206244,1.401298e-45,0.2160994,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.149206,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.225336,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
7,0,Neutral,0.09008735,0.0,0.0,0.1365983,0.0,0.1521843,0.1062149,0.0,0.0,0.1365983,0.0,0.1521843,0,0.0,0.0,1.401298e-45,0.05680721,0.09848948,1.401298e-45,1.401298e-45,0.2193979,1.401298e-45,0.2156317,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1341548,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.2132036,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
8,0,Neutral,0.1032032,0.0,0.0,0.1365983,0.0,0.1533445,0.1167694,0.0,0.0,0.1365983,0.0,0.1533445,0,0.0,0.0,1.401298e-45,0.05680721,0.09848948,1.401298e-45,1.401298e-45,0.2193979,1.401298e-45,0.2156317,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1341548,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.2132036,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
9,0,Neutral,0.08365822,0.0,0.0,0.1362637,0.0,0.1526907,0.1569369,0.0,0.0,0.1362637,0.0,0.1526907,0,0.0,0.0,1.401298e-45,0.054139,0.09684302,1.401298e-45,1.401298e-45,0.2196588,1.401298e-45,0.2165621,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.1489224,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.203786,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
10,0,Neutral,0.04570085,0.0,0.0,0.1564405,0.0,0.1546246,0.2499455,0.0,0.0,0.1564405,0.0,0.1546246,0,0.0,0.0,0.04846007,1.401298e-45,1.401298e-45,0.01275504,1.401298e-45,0.1137023,1.401298e-45,0.1280815,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
11,0,Neutral,0.04811805,0.0,0.0,0.1564405,0.0,0.1547952,0.2536465,0.0,0.0,0.1564405,0.0,0.1547952,0,0.0,0.0,0.04846007,1.401298e-45,1.401298e-45,0.01275504,1.401298e-45,0.1137023,1.401298e-45,0.1280815,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
12,0,Neutral,0.05890697,0.0,0.0,0.1566024,0.0,0.1553208,0.2382116,0.0,0.0,0.1566024,0.0,0.1553208,0,0.0,0.0,0.04779484,1.401298e-45,1.401298e-45,0.01360629,1.401298e-45,0.1177045,1.401298e-45,0.1307952,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
13,0,Neutral,0.05926955,0.0,0.0,0.156987,0.0,0.1548219,0.2320191,0.0,0.0,0.156987,0.0,0.1548219,0,0.0,0.0,0.04599953,1.401298e-45,1.401298e-45,0.01519712,1.401298e-45,0.1118771,1.401298e-45,0.1245752,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
14,0,Neutral,0.03717184,0.0,0.0,0.156987,0.0,0.1550625,0.2569444,0.0,0.0,0.156987,0.0,0.1550625,0,0.0,0.0,0.04599953,1.401298e-45,1.401298e-45,0.01519712,1.401298e-45,0.1118771,1.401298e-45,0.1245752,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
15,0,Neutral,0.0,0.02162476,0.0,0.1335515,0.02162476,0.09890852,0.0,0.02162476,0.0,0.1335515,0.02162476,0.09890852,0,0.0,0.0,1.401298e-45,0.04126197,1.401298e-45,1.401298e-45,1.401298e-45,0.1177427,1.401298e-45,0.128271,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.05468322,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,1.401298e-45,0.0,0.0,0.0,0.0
