,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
0,0.0,0.09019039,0.09389025,0.08492684,0.09019039,0.0,0.0,0.09019039,0.09389025,0.08492684,0.09019039,0.0,0,0.0,0.0,0.0,0.03175849,0.0,0.0,0,0.0,0.01619438,0.0,0.03132416,0.0,0.0,0.8142115,0.0,0.0,0.0,0.0,0.0,0.04711825,0,0.0,0.0,0.0,0.0,0,0.0,0.4316264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,0.0,0.07656692,0.09389025,0.08492684,0.07656692,0.0,0.0,0.07656692,0.09389025,0.08492684,0.07656692,0.0,0,0.0,0.0,0.0,0.02713074,0.0,0.0,0,0.0,0.01178407,0.0,0.02462069,0.0,0.0,0.8225877,0.0,0.0,0.0,0.0,0.0,0.04917752,0,0.0,0.0,0.0,0.0,0,0.0,0.4205403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,0.0,0.07656692,0.09389025,0.08492684,0.07656692,0.0,0.0,0.07656692,0.09389025,0.08492684,0.07656692,0.0,0,0.0,0.0,0.0,0.02713074,0.0,0.0,0,0.0,0.01178407,0.0,0.02462069,0.0,0.0,0.8225877,0.0,0.0,0.0,0.0,0.0,0.04917752,0,0.0,0.0,0.0,0.0,0,0.0,0.4205403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,0.0,0.1118784,0.09375226,0.0849562,0.1118784,0.0,0.0,0.1118784,0.09375226,0.0849562,0.1118784,0.0,0,0.0,0.0,0.0,0.02887249,0.0,0.0,0,0.0,0.01178085,0.0,0.0241839,0.0,0.0,0.8281879,0.0,0.0,0.0,0.0,0.0,0.0378209,0,0.0,0.0,0.0,0.0,0,0.0,0.429853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,0.0,0.1118784,0.09375226,0.0849562,0.1118784,0.0,0.0,0.1118784,0.09375226,0.0849562,0.1118784,0.0,0,0.0,0.0,0.0,0.02887249,0.0,0.0,0,0.0,0.01178085,0.0,0.0241839,0.0,0.0,0.8281879,0.0,0.0,0.0,0.0,0.0,0.0378209,0,0.0,0.0,0.0,0.0,0,0.0,0.429853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,0.0,0.08651683,0.09350097,0.08503324,0.08651683,0.0,0.0,0.08651683,0.09350097,0.08503324,0.08651683,0.0,0,0.0,0.0,0.0,0.02775697,0.0,0.0,0,0.0,0.01044397,0.0,0.0245721,0.0,0.0,0.8246765,0.0,0.0,0.0,0.0,0.0,0.04851963,0,0.0,0.0,0.0,0.0,0,0.0,0.4323508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,0.0,0.08150829,0.09338617,0.08511505,0.08150829,0.0,0.0,0.08150829,0.09338617,0.08511505,0.08150829,0.0,0,0.0,0.0,0.0,0.02049378,0.0,0.0,0,0.0,0.0110354,0.0,0.022473,0.0,0.0,0.8289453,0.0,0.0,0.0,0.0,0.0,0.03066766,0,0.0,0.0,0.0,0.0,0,0.0,0.4381766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,0.0,0.08150829,0.09338617,0.08511505,0.08150829,0.0,0.0,0.08150829,0.09338617,0.08511505,0.08150829,0.0,0,0.0,0.0,0.0,0.02049378,0.0,0.0,0,0.0,0.0110354,0.0,0.022473,0.0,0.0,0.8289453,0.0,0.0,0.0,0.0,0.0,0.03066766,0,0.0,0.0,0.0,0.0,0,0.0,0.4381766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8,0.0,0.08971082,0.09315258,0.08508065,0.08971082,0.0,0.0,0.08971082,0.09315258,0.08508065,0.08971082,0.0,0,0.0,0.0,0.0,0.02007856,0.0,0.0,0,0.0,0.0,0.0,0.01864182,0.0,0.0,0.8206724,0.0,0.0,0.0,0.0,0.0,0.01904645,0,0.0,0.0,0.0,0.0,0,0.0,0.4242092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9,0.0,0.08971082,0.09315258,0.08508065,0.08971082,0.0,0.0,0.08971082,0.09315258,0.08508065,0.08971082,0.0,0,0.0,0.0,0.0,0.02007856,0.0,0.0,0,0.0,0.0,0.0,0.01864182,0.0,0.0,0.8206724,0.0,0.0,0.0,0.0,0.0,0.01904645,0,0.0,0.0,0.0,0.0,0,0.0,0.4242092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
