,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
0,0.0,0.0813343,0.01023614,0.01851651,0.0813343,0.09686479,0.0,0.0813343,0.01023614,0.01851651,0.0813343,0.09686479,0,0.0,0,0.0,0.0813177,0.0,0.02311651,0.0,0.0,0.06559031,0.0,0.1111071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.0,0.0998327,0.0,0.01928195,0.0998327,0.09675872,0.0,0.0998327,0.0,0.01928195,0.0998327,0.09675872,0,0.0,0,0.0,0.07847852,0.0,0.03159934,0.0,0.0,0.07455753,0.0,0.1204209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0998327,0.0,0.01928195,0.0998327,0.09692393,0.0,0.0998327,0.0,0.01928195,0.0998327,0.09692393,0,0.0,0,0.0,0.07847852,0.0,0.03159934,0.0,0.0,0.07455753,0.0,0.1204209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,0.0,0.1139252,0.0,0.01929179,0.1139252,0.09728543,0.0,0.1139252,0.0,0.01929179,0.1139252,0.09728543,0,0.0,0,0.0,0.07493691,0.0,0.03058964,0.0,0.0,0.07757299,0.0,0.1225186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,0.0,0.1139252,0.0,0.01929179,0.1139252,0.09685246,0.0,0.1139252,0.0,0.01929179,0.1139252,0.09685246,0,0.0,0,0.0,0.07493691,0.0,0.03058964,0.0,0.0,0.07757299,0.0,0.1225186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,0.0,0.1251994,0.0,0.01929179,0.1251994,0.0987176,0.0,0.1251994,0.0,0.01929179,0.1251994,0.0987176,0,0.0,0,0.0,0.06858521,0.0,0.03506736,0.0,0.0,0.07856997,0.0,0.1225756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,0.0,0.09980386,0.0,0.01925445,0.09980386,0.09912016,0.0,0.09980386,0.0,0.01925445,0.09980386,0.09912016,0,0.0,0,0.0,0.07901041,0.0,0.03751382,0.0,0.0,0.0820149,0.0,0.1298053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
7,0.0,0.09980386,0.0,0.01925445,0.09980386,0.09888136,0.0,0.09980386,0.0,0.01925445,0.09980386,0.09888136,0,0.0,0,0.0,0.07901041,0.0,0.03751382,0.0,0.0,0.0820149,0.0,0.1298053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,0.0,0.096783,0.0,0.01901957,0.096783,0.0995013,0.0,0.096783,0.0,0.01901957,0.096783,0.0995013,0,0.0,0,0.0,0.07135479,0.0,0.03524429,0.0,0.0,0.07856972,0.0,0.1242868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,0.0,0.096783,0.0,0.01901957,0.096783,0.1005019,0.0,0.096783,0.0,0.01901957,0.096783,0.1005019,0,0.0,0,0.0,0.07135479,0.0,0.03524429,0.0,0.0,0.07856972,0.0,0.1242868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
