,Eye_Left_Blink,Eye_Left_Wide,Eye_Left_Right,Eye_Left_Left,Eye_Left_Up,Eye_Left_Down,Eye_Right_Blink,Eye_Right_Wide,Eye_Right_Right,Eye_Right_Left,Eye_Right_Up,Eye_Right_Down,Eye_Frown,Eye_Left_Squeeze,Eye_Right_Squeeze,Jaw_Right,Jaw_Left,Jaw_Forward,Jaw_Open,Mouth_Ape_Shape,Mouth_Upper_Right,Mouth_Upper_Left,Mouth_Lower_Right,Mouth_Lower_Left,Mouth_Upper_Overturn,Mouth_Lower_Overturn,Mouth_Pout,Mouth_Smile_Right,Mouth_Smile_Left,Mouth_Sad_Right,Mouth_Sad_Left,Cheek_Puff_Right,Cheek_Puff_Left,Cheek_Suck,Mouth_Upper_UpRight,Mouth_Upper_UpLeft,Mouth_Lower_DownRight,Mouth_Lower_DownLeft,Mouth_Upper_Inside,Mouth_Lower_Inside,Mouth_Lower_Overlay,Tongue_LongStep1,Tongue_Left,Tongue_Right,Tongue_Up,Tongue_Down,Tongue_Roll,Tongue_LongStep2,Tongue_UpRight_Morph,Tongue_UpLeft_Morph,Tongue_DownRight_Morph,Tongue_DownLeft_Morph
0,0.9681597,0.0,0.07445014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1085666,0.0,0.0,0.0,0.07897086,0.0,0.08628722,0.0,0.0,0.2928276,0.0,0.0,0.1036462,0.1465984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1,0.6526836,0.0,0.01726532,0.0,0.0,0.0,0.6111566,0.0,0.01726532,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1053594,0.0,0.0,0.0,0.08576639,0.0,0.09443985,0.0,0.0,0.2819753,0.0,0.0,0.1018443,0.1461964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2,0.4071666,0.0,0.01726532,0.0,0.0,0.0,0.4299403,0.0,0.01726532,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1053594,0.0,0.0,0.0,0.08576639,0.0,0.09443985,0.0,0.0,0.2819753,0.0,0.0,0.1018443,0.1461964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
3,0.3513582,0.0,0.01145595,0.0,0.0,0.04451768,0.287993,0.0,0.01145595,0.0,0.0,0.04451768,0,0.0,0.0,0.0,0.01020536,0.1145619,0.0,0.0,0.0,0.09064142,0.0,0.1029052,0.0,0.0,0.2751821,0.0,0.0,0.1027073,0.1487003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
4,0.3058141,0.0,0.01145595,0.0,0.0,0.02114923,0.2133254,0.0,0.01145595,0.0,0.0,0.02114923,0,0.0,0.0,0.0,0.01020536,0.1145619,0.0,0.0,0.0,0.09064142,0.0,0.1029052,0.0,0.0,0.2751821,0.0,0.0,0.1027073,0.1487003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
5,0.3058141,0.0,0.01048142,0.0,0.0,0.01461598,0.2133254,0.0,0.01048142,0.0,0.0,0.01461598,0,0.0,0.0,0.0,0.0,0.1090922,0.0,0.0,0.0,0.08706275,0.0,0.09695159,0.0,0.0,0.2826288,0.0,0.0,0.105982,0.1510378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
6,0.1614819,0.0,0.01108962,0.0,0.0,0.0,0.09981567,0.0,0.01108962,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1134532,0.0,0.0,0.0,0.08513089,0.0,0.09479843,0.0,0.0,0.275613,0.0,0.0,0.1069232,0.1521741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
7,0.1180989,0.0,0.01108962,0.0,0.0,0.0,0.05602628,0.0,0.01108962,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1134532,0.0,0.0,0.0,0.08513089,0.0,0.09479843,0.0,0.0,0.275613,0.0,0.0,0.1069232,0.1521741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
8,0.07091588,0.0,0.01105672,0.0,0.0,0.0,0.02900702,0.0,0.01105672,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1141377,0.0,0.0,0.0,0.08272702,0.0,0.09185143,0.0,0.0,0.2839243,0.0,0.0,0.1079566,0.1523854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
9,0.03035372,0.0,0.01105672,0.0,0.0,0.0,0.01952749,0.0,0.01105672,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1141377,0.0,0.0,0.0,0.08272702,0.0,0.09185143,0.0,0.0,0.2839243,0.0,0.0,0.1079566,0.1523854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
