Emotion,Blendshape,value
Fear,Mouth_Smile_Left,0.4446768 
Fear,Mouth_Sad_Right,1.401298E-45 
Fear,Mouth_Sad_Left,1.401298E-45 
Fear,Cheek_Puff_Right,1.401298E-45 
Fear,Cheek_Puff_Left,1.401298E-45 
Fear,Cheek_Suck,0 
Fear,Mouth_Upper_UpRight,0.1225995 
Fear,Mouth_Upper_UpLeft,0.1335869 
Fear,Mouth_Lower_DownRight,1.401298E-45 
Fear,Mouth_Lower_DownLeft,1.401298E-45 
Fear,Mouth_Upper_Inside,1.401298E-45 
Fear,Mouth_Lower_Inside,1.401298E-45 
Fear,Mouth_Lower_Overlay,1.401298E-45 
Fear,Tongue_LongStep1,0.75262 
Fear,Tongue_Left,1.401298E-45 
Fear,Tongue_Right,1.401298E-45 
Fear,Tongue_Up,4.920341E-28 
Fear,Tongue_Down,1.401298E-45 
Fear,Tongue_Roll,3.782809E-26 
Fear,Tongue_LongStep2,2.03218E-25 
Fear,Tongue_UpRight_Morph,0 
Fear,Tongue_UpLeft_Morph,0 
Fear,Tongue_DownRight_Morph,0 
Fear,Tongue_DownLeft_Morph,0 
Disgust,Jaw_Right,1.401298E-45 
Disgust,Jaw_Left,0.1059427 
Disgust,Jaw_Forward,0 
Disgust,Jaw_Open,0.3625684 
Disgust,Mouth_Ape_Shape,1.401298E-45 
Disgust,Mouth_Upper_Right,1.401298E-45 
Disgust,Mouth_Upper_Left,0.05264132 
Disgust,Mouth_Lower_Right,1.401298E-45 
Disgust,Mouth_Lower_Left,0.08747457 
Disgust,Mouth_Upper_Overturn,1.401298E-45 
Disgust,Mouth_Lower_Overturn,1.401298E-45 
Disgust,Mouth_Pout,1.401298E-45 
Disgust,Mouth_Smile_Right,0.3879418 
Disgust,Mouth_Smile_Left,0.4151853 
Disgust,Mouth_Sad_Right,1.401298E-45 
Disgust,Mouth_Sad_Left,1.401298E-45 
Disgust,Cheek_Puff_Right,1.401298E-45 
Disgust,Cheek_Puff_Left,1.401298E-45 
Disgust,Cheek_Suck,0 
Disgust,Mouth_Upper_UpRight,0.7180772 
Disgust,Mouth_Upper_UpLeft,0.7195939 
Disgust,Mouth_Lower_DownRight,1.401298E-45 
Disgust,Mouth_Lower_DownLeft,1.401298E-45 
Disgust,Mouth_Upper_Inside,1.401298E-45 
Disgust,Mouth_Lower_Inside,1.83067E-40 
Disgust,Mouth_Lower_Overlay,1.401298E-45 
Disgust,Tongue_LongStep1,1 
Disgust,Tongue_Left,1.401298E-45 
Disgust,Tongue_Right,1.401298E-45 
Disgust,Tongue_Up,0.01542096 
Disgust,Tongue_Down,1.401298E-45 
Disgust,Tongue_Roll,0.1361848 
Disgust,Tongue_LongStep2,0.1512462 
Disgust,Tongue_UpRight_Morph,0 
Disgust,Tongue_UpLeft_Morph,0 
Disgust,Tongue_DownRight_Morph,0 
Disgust,Tongue_DownLeft_Morph,0 
Surprise,Jaw_Right,0.06200322 
Surprise,Jaw_Left,4.071318E-30 
Surprise,Jaw_Forward,0 
Surprise,Jaw_Open,0.6776269 
Surprise,Mouth_Ape_Shape,1.401298E-45 
Surprise,Mouth_Upper_Right,0.01182092 
Surprise,Mouth_Upper_Left,3.944081E-10 
Surprise,Mouth_Lower_Right,0.01536052 
Surprise,Mouth_Lower_Left,9.398651E-10 
Surprise,Mouth_Upper_Overturn,1.401298E-45 
Surprise,Mouth_Lower_Overturn,1.401298E-45 
Surprise,Mouth_Pout,1.401298E-45 
Surprise,Mouth_Smile_Right,1.401298E-45 
Surprise,Mouth_Smile_Left,1.401298E-45 
